caldt,totval,totcnt,spindx,sprtrn
1950-01-31,24999176.50,90,17.05,0.017303
1950-02-28,25246904.90,90,17.22,0.009971
1950-03-31,25399291.90,90,17.29,0.004065
1950-04-29,26529385.30,90,18.07,0.045113
1950-05-31,27535099.40,90,18.78,0.039292
1950-06-30,25950947.10,90,17.69,-0.058040
1950-07-31,25667012.00,90,17.84,0.008479
1950-08-31,26460058.00,90,18.42,0.032511
1950-09-29,27955307.10,90,19.45,0.055917
1950-10-31,28064837.90,90,19.53,0.004113
1950-11-30,28062793.00,90,19.51,-0.001024
1950-12-30,29783857.30,90,20.41,0.046130
1951-01-31,31674640.00,90,21.66,0.061244
1951-02-28,31812722.00,90,21.80,0.006464
1951-03-31,31252904.50,90,21.40,-0.018349
1951-04-30,32748452.40,90,22.43,0.048131
1951-05-31,31408487.40,90,21.52,-0.040571
1951-06-29,30523217.80,90,20.96,-0.026022
1951-07-31,32660294.10,90,22.40,0.068702
1951-08-31,33914320.60,90,23.28,0.039286
1951-09-28,34522002.20,90,23.26,-0.000859
1951-10-31,34018023.00,90,22.94,-0.013758
1951-11-30,33951915.20,90,22.88,-0.002616
1951-12-31,35444069.00,90,23.77,0.038899
1952-01-31,36042650.00,90,24.14,0.015566
1952-02-29,34754362.90,90,23.26,-0.036454
1952-03-31,36571939.90,90,24.37,0.047721
1952-04-30,34996117.10,90,23.32,-0.043086
1952-05-29,35837771.20,90,23.86,0.023156
1952-06-30,37574458.50,90,24.96,0.046102
1952-07-31,38238000.20,90,25.40,0.017628
1952-08-29,37664161.70,90,25.03,-0.014567
1952-09-30,36895405.50,90,24.54,-0.019577
1952-10-31,36849493.40,90,24.52,-0.000815
1952-11-28,38668054.60,90,25.66,0.046493
1952-12-31,40315357.10,90,26.57,0.035464
1953-01-30,40072053.00,90,26.38,-0.007151
1953-02-27,39358603.50,90,25.90,-0.018196
1953-03-31,38399500.50,90,25.29,-0.023552
1953-04-30,37382725.80,90,24.62,-0.026493
1953-05-29,37299755.80,90,24.54,-0.003249
1953-06-30,36494598.60,90,24.14,-0.016300
1953-07-31,37427558.50,90,24.75,0.025269
1953-08-31,35178263.00,90,23.32,-0.057778
1953-09-30,35247353.20,90,23.35,0.001286
1953-10-30,37002888.10,90,24.54,0.050964
1953-11-30,37368452.20,90,24.76,0.008965
1953-12-31,37601343.10,90,24.81,0.002019
1954-01-29,39598963.10,90,26.08,0.051189
1954-02-26,39691751.20,90,26.15,0.002684
1954-03-31,40819920.20,90,26.94,0.030210
1954-04-30,43180701.50,90,28.26,0.048998
1954-05-28,44645695.10,90,29.19,0.032909
1954-06-30,44761560.10,91,29.21,0.000685
1954-07-30,47347890.90,91,30.88,0.057172
1954-08-31,45702419.40,91,29.83,-0.034003
1954-09-30,49399184.80,91,32.31,0.083138
1954-10-29,48477471.10,91,31.68,-0.019499
1954-11-30,52487203.90,91,34.24,0.080808
1954-12-31,56080951.80,91,35.98,0.050818
1955-01-31,56969739.40,91,36.63,0.018066
1955-02-28,57600054.50,91,36.76,0.003549
1955-03-31,57378250.00,91,36.58,-0.004897
