public_date,gicdesc,NFIRM,indret_ew,indret_vw,CAPEI_Mean,bm_Mean,evm_Mean,pe_op_basic_Mean,pe_op_dil_Mean,pe_exi_Mean,pe_inc_Mean,ps_Mean,pcf_Mean,dpr_Mean,ptb_Mean,PEG_trailing_Mean,divyield_Mean,PEG_1yrforward_Mean,PEG_ltgforward_Mean,efftax_Mean,GProf_Mean,aftret_eq_Mean,aftret_equity_Mean,aftret_invcapx_Mean,gpm_Mean,npm_Mean,opmad_Mean,opmbd_Mean,pretret_earnat_Mean,pretret_noa_Mean,ptpm_Mean,roa_Mean,roce_Mean,roe_Mean,capital_ratio_Mean,equity_invcap_Mean,debt_invcap_Mean,totdebt_invcap_Mean,invt_act_Mean,rect_act_Mean,fcf_ocf_Mean,ocf_lct_Mean,cash_debt_Mean,cash_lt_Mean,cfm_Mean,short_debt_Mean,profit_lct_Mean,curr_debt_Mean,debt_ebitda_Mean,dltt_be_Mean,int_debt_Mean,int_totdebt_Mean,lt_debt_Mean,lt_ppent_Mean,de_ratio_Mean,debt_assets_Mean,debt_at_Mean,debt_capital_Mean,intcov_Mean,intcov_ratio_Mean,cash_conversion_Mean,cash_ratio_Mean,curr_ratio_Mean,quick_ratio_Mean,at_turn_Mean,inv_turn_Mean,pay_turn_Mean,rect_turn_Mean,sale_equity_Mean,sale_invcap_Mean,sale_nwc_Mean,accrual_Mean,rd_sale_Mean,adv_sale_Mean,staff_sale_Mean
1999-12-31,Communication Services,129,0.187776,0.012091,-104.76,0.333,13.412,-15.870,-15.029,-0.358,0.809,33.568,-9.993,0.286,13.647,1.696,2.30%,-1.346,0.700,0.418,0.170,0.777,0.753,-0.163,-0.981,-4.333,-2.931,-2.459,-0.174,0.275,-4.382,-0.030,0.226,-0.957,0.627,0.250,0.630,0.720,0.058,0.393,-2.604,-0.210,-0.182,0.491,-3.826,0.146,0.033,0.347,2.704,5.415,0.134,0.094,0.584,2.701,-0.231,0.719,0.510,0.697,-6.825,-3.801,73.441,1.666,2.447,2.348,0.638,34.962,5.680,8.984,4.554,1.107,11.153,-0.130,1.085,0.131,0.007
1999-12-31,Consumer Discretionary,1189,0.013025,0.090565,19.355,0.962,6.242,-32.859,-31.330,-28.534,-21.210,5.603,6.427,0.204,3.410,0.700,2.44%,-0.221,0.929,0.797,0.437,-0.065,-0.052,-0.570,0.104,-1.177,-1.022,-0.904,0.041,0.123,-1.155,0.089,0.092,-0.091,0.325,0.633,0.354,0.493,0.355,0.302,-0.820,0.241,0.082,0.520,-0.324,0.322,0.430,0.576,2.869,1.209,0.945,0.103,0.350,5.335,1.918,0.537,0.288,0.472,21.241,51.130,135.936,0.761,2.361,1.544,1.489,23.970,13.474,52.831,4.517,2.671,1.44E13,-0.056,0.272,0.037,0.027
1999-12-31,Consumer Staples,269,-0.005725,-0.034386,15.501,0.781,7.500,-28.475,-25.609,-26.079,-18.108,0.855,10.013,0.160,3.229,1.182,2.70%,0.938,1.171,0.353,0.568,0.140,0.017,0.085,0.358,0.018,0.056,0.090,0.123,0.275,0.034,0.136,0.115,-0.181,0.365,0.571,0.389,0.552,0.438,0.326,-2.459,0.355,0.170,0.266,0.045,0.254,0.622,0.504,1.940,1.118,0.203,0.082,0.392,3.224,2.242,0.584,0.322,0.570,14.514,25.906,100.389,0.463,2.072,1.215,1.752,8.408,11.411,25.437,6.365,3.049,32.243,-0.037,0.007,0.029,0.004
1999-12-31,Energy,221,0.006352,0.001012,14.393,0.753,3.459,-56.781,-62.609,-62.670,-46.827,4.175,11.407,0.313,1.991,-0.159,2.73%,-0.831,-1.650,0.330,0.124,-0.301,-0.162,-0.061,0.196,-0.469,-0.365,-0.058,-0.049,-0.089,-0.503,0.047,-0.043,-0.261,0.350,0.580,0.397,0.481,0.139,0.488,-2.342,0.608,0.108,0.413,-0.136,0.191,0.379,0.367,1.580,1.297,1.896,0.149,0.503,1.064,8.074,0.541,0.357,0.489,-8.536,-4.580,68.889,0.999,2.149,1.881,0.731,66.730,7.574,7.064,4.278,1.364,51.036,-0.142,0.003,0.000,0.020
1999-12-31,Financials,1163,-0.022251,-0.019341,15.917,0.824,11.877,-5.756,-4.030,-3.879,1.315,3.246,1.479,0.127,2.076,1.248,2.90%,0.360,1.512,0.300,0.065,0.051,0.066,0.024,0.395,0.026,0.171,0.207,0.010,0.401,0.076,0.037,0.112,0.337,0.365,0.628,0.366,0.755,0.093,0.355,-0.032,-0.309,0.020,0.316,0.079,0.388,0.127,0.579,6.114,1.146,1.020,0.173,0.163,75.837,8.177,0.814,0.188,0.761,9.799,17.956,865.744,2.048,3.612,3.236,0.232,86.144,7.749,3.294,1.286,0.760,19.665,0.008,0.005,0.011,0.168
1999-12-31,Health Care,767,0.146219,-0.037646,7.108,0.612,-1.085,-305.02,-304.35,-290.60,-246.27,27.127,3.521,0.108,7.977,-0.812,1.81%,-1.349,0.129,0.300,0.140,-0.572,-0.582,-0.249,-2.462,-5.502,-5.508,-5.073,-0.205,-0.122,-5.478,-0.145,0.678,-0.538,0.301,0.636,0.310,0.445,0.149,0.292,-12.602,-1.108,-0.980,2.391,-4.845,0.354,-1.096,0.664,0.952,0.755,0.628,1.321,0.273,5.072,1.236,0.429,0.210,0.338,-212.73,-213.60,167.714,3.144,4.627,4.139,0.846,33.082,14.009,8.626,2.372,1.483,22.672,-0.077,3.345,0.020,0.033
1999-12-31,Industrials,968,0.071494,0.106302,91.196,0.827,-6.335,-60.628,-58.924,-56.543,-48.646,4.326,6.209,0.223,3.350,0.716,2.25%,0.562,0.939,0.449,0.360,0.132,0.097,0.049,0.218,-0.246,-0.216,-0.138,0.080,0.207,-0.228,0.106,0.111,0.010,0.311,0.661,0.312,0.428,0.238,0.468,-3.702,0.217,0.096,0.415,-0.157,0.286,0.471,0.567,1.727,0.907,1.306,0.096,0.334,4.166,0.878,0.537,0.259,0.436,17.842,25.334,167.208,0.592,2.232,1.677,1.374,33.988,17.998,7.639,10.746,2.390,27.261,-0.039,0.119,0.007,0.046
1999-12-31,Information Technology,1379,0.261376,0.222846,22.942,0.487,5.208,-253.89,-245.52,-256.39,-217.75,29.494,-0.116,0.080,11.962,0.758,1.47%,-1.378,0.550,0.430,0.431,0.529,0.102,-0.225,-1.126,-2.390,-2.397,-2.236,0.013,-0.798,-2.407,-0.025,-0.089,-0.394,0.139,0.742,0.163,0.318,0.148,0.327,-2.882,-0.331,-0.201,1.765,-2.467,0.474,-0.350,0.792,-0.284,0.634,0.999,0.196,0.160,4.604,-0.093,0.563,0.148,0.277,49.281,134.467,158.486,2.123,3.630,3.178,1.195,35.868,9.068,6.175,2.470,2.095,8.541,-0.096,0.741,0.069,0.027
1999-12-31,Materials,285,0.067603,0.098982,5.055,0.951,8.802,-24.775,-24.177,-15.107,-0.709,4.686,8.584,0.425,2.074,1.017,2.49%,-0.113,1.721,0.365,0.244,0.161,0.055,0.042,0.044,-0.635,-0.645,-0.532,0.060,0.097,-0.631,0.094,0.066,0.046,0.399,0.572,0.403,0.516,0.374,0.390,-2.211,0.010,-0.123,1.084,-0.374,0.226,0.145,0.404,3.397,1.259,0.149,0.099,0.406,4.115,4.648,0.581,0.313,0.503,5.158,3.766,94.646,1.648,3.394,2.592,1.006,6.955,10.876,19.441,5.183,1.653,11.604,-0.052,0.189,0.002,0.010
1999-12-31,Utilities,154,-0.017693,-0.001048,20.908,0.885,7.579,20.351,21.398,23.033,20.610,1.291,7.655,0.341,1.349,3.287,5.02%,-0.116,2.953,0.354,0.110,0.094,0.098,0.078,0.242,0.048,0.138,0.232,0.086,0.108,0.085,0.109,0.100,0.071,0.511,0.465,0.506,0.606,0.179,0.450,-0.004,0.522,0.104,0.042,0.143,0.158,0.825,0.228,4.012,0.921,0.086,0.072,0.477,1.798,2.519,0.685,0.388,0.585,2.156,2.607,30.397,0.262,1.018,0.852,0.527,37.120,11.100,10.068,1.864,0.844,53.894,-0.040,0.000,0.000,0.019
