,AnnReturn,AnnVol,Sharpe,MaxDD,Calmar,Turnover,EffN,SharpeStab,Sortino,Omega,VaR95,CVaR95,Skew,Kurt,HitRate
HMVA,0.1321302830928215,0.17701060261637577,0.7464540606032473,-0.37010495427011014,0.3570076043791354,1.1331113989112611,4.777206971095039,0.11370174147517816,0.9758905242233448,1.1584545093840561,-0.015569961051154518,-0.025635830778589927,-0.2459058727083228,12.682874038457577,0.5404835307480124
HMVA-mv,0.10004472176327606,0.15334455747777315,0.6524178191180815,-0.37519309555672475,0.26664862159796987,0.9410288786224553,9.540935983453897,0.11157779741608329,0.836925835682965,1.1405762155613945,-0.013493164173066483,-0.02237206125775442,-0.25636505970714196,15.713222713364,0.5356157715398345
MVO-EK,0.07421875075679618,0.2481353446946949,0.29910592079542214,-0.6041776163647116,0.12284260248395906,1.3009391794357226,3.1946234599014036,0.11860331995818013,0.3748047804791608,1.0819489477668456,-0.02296028622245005,-0.03755711103291123,-0.3817678062696767,13.345192625230787,0.5310725296122019
MVO-K,0.05697284048982332,0.23172642922167433,0.24586250554666733,-0.6311823041672243,0.09026368469723295,1.1311116606677247,3.5269430665160857,0.10832650167409585,0.3264585165016779,1.067002093674331,-0.022575466685603705,-0.03437508667575402,-0.21026879119298164,7.173640036120065,0.5260425117637514
MVO-E,0.04190889612388671,0.31213465096753384,0.1342654395914723,-0.7111092517112771,0.0589345392751302,1.4918262302859249,1.6515704187929552,0.11617281832929084,0.16529718371535834,1.0594142627489664,-0.027901260649821572,-0.04690177526376332,-0.3827665956308049,20.911598443598876,0.5237708907999351
MVO,0.02828878979960181,0.29024996243986373,0.09746354336036445,-0.6658729896203309,0.042483762279847966,1.2269841359240545,1.7233901632260553,0.1047673136748159,0.12650438924557555,1.0469000590296662,-0.02766340393172514,-0.0437113312510708,-0.11394483173567849,11.058300329302778,0.5182540970306669
GMV-EK,0.08181323409492669,0.14611444017236103,0.559925726700368,-0.388740328064466,0.2104572852070016,0.7634348464941364,26.347968746955722,0.11627763141044327,0.7120838935069554,1.1227970299980288,-0.013474028021683166,-0.021638127567018835,-0.09465311590813494,14.853487209838349,0.5427551517118286
GMV-K,0.07756914522630098,0.14387755538802638,0.5391330497456892,-0.4047856014249467,0.1916301986860159,0.5849625406074024,23.279254793253223,0.11644375301413612,0.6873098740455807,1.117740094931529,-0.013594956372792087,-0.0213521220063172,-0.13577037313522186,14.295387742585632,0.5468116177186435
GMV-E,0.07138675948275552,0.1381849770764957,0.5166028970228624,-0.36897621410241144,0.19347252412032642,0.9003200359800049,21.725947761383424,0.11829509285563278,0.6579180634637529,1.1128827308545108,-0.01271798995129734,-0.02038466904893647,-0.10135763536709114,16.316173806578544,0.5412948239493753
GMV,0.07325710770926097,0.13396596984066939,0.5468337055775307,-0.36013040978454747,0.20341827770969953,0.5276493083824478,16.702610231442346,0.1190590345041214,0.6962205376806089,1.1174071980276936,-0.012368900396447243,-0.019826691443501274,-0.24565093607084904,15.23433034647979,0.545026772675645
HRP-EK,0.08347149833166356,0.1626633613086395,0.5131548841738471,-0.46405724685285044,0.1798732783460482,0.3211290375033431,72.74529790331096,0.11192480979967095,0.6470311730626059,1.1158651188691144,-0.015244825190134906,-0.02447129055904845,-0.12028818735270837,12.893128324440472,0.5424306344312835
HRP-K,0.08118589081933347,0.16338773651448765,0.4968909696116311,-0.4727212303186301,0.1717415796295238,0.2596861818489628,75.78226481967694,0.11177638576470354,0.6263600389268992,1.1126781456607187,-0.015173592500390454,-0.024573129899041753,-0.12489643426810727,12.925855573299422,0.5451890313159176
HRP-E,0.08632560948652679,0.15595194450901684,0.5535398084217898,-0.43215448677922297,0.19975636520610374,0.40038469008772665,62.49635569692169,0.11264399043669639,0.6973663752574538,1.1231006168111783,-0.014675912375366184,-0.023402810780353427,-0.10794839463254466,13.550078290050948,0.5445399967548272
HRP,0.08499171923791282,0.15627104912026785,0.543873735515158,-0.44362267777726616,0.19158560528004706,0.28244507110903144,67.05508463516676,0.11202648978059203,0.6848615155287966,1.1212362395420623,-0.014669812422794184,-0.02344117842122616,-0.1354905356110884,13.678111017448941,0.545026772675645
EW,0.07438885361557968,0.18964292347725212,0.3922574713129367,-0.5520665309811988,0.13474617539912606,0.05747440273037544,100.0,0.11376647465078767,0.4969745513950188,1.0943101910814825,-0.018088552322066756,-0.028651895892921848,-0.15642425070616808,10.740163946208629,0.5417815998701931
SPY-100,0.07595640946896265,0.1908589728437709,0.397971383463,-0.533332872976658,0.14241839068541154,0.06816705129340339,52.12134538731384,0.11519739255995809,0.5093727245009595,1.0948848196912742,-0.018455032825534692,-0.028751561377803807,-0.10210878959143116,9.671900252844736,0.5393477202661042
