period,regime,strategy,start,end,AnnReturn,AnnVol,Sharpe,MaxDD,Calmar,NDays
Dot-com trough (2002),crisis,HMVA,2002-01-01,2002-10-31,-0.30185833419753794,0.31655950553328066,-0.9535595327931256,-0.38044743406383963,-0.7934298070384296,211.0
Dot-com trough (2002),crisis,HRP,2002-01-01,2002-10-31,-0.19166834441355418,0.21749098103997705,-0.8812703105988731,-0.2665238772739399,-0.7191413631453091,211.0
Dot-com trough (2002),crisis,MVO,2002-01-01,2002-10-31,-0.31853633562033834,0.31754332138784686,-1.0031271771931825,-0.3958688511977595,-0.8046511733786574,211.0
Dot-com trough (2002),crisis,EW,2002-01-01,2002-10-31,-0.25101835417471585,0.2730276164376986,-0.9193881463342557,-0.3295258214368113,-0.7617562504820286,211.0
Dot-com trough (2002),crisis,SPY-K,2002-01-01,2002-10-31,-0.2524507928019103,0.28003955726648894,-0.9014826164779112,-0.32823689677822576,-0.7691115632636493,211.0
GFC (2007–2009),crisis,HMVA,2007-10-01,2009-03-31,-0.07623929772597193,0.24459723336018183,-0.31169321369103836,-0.302067520258236,-0.25239157676004137,378.0
GFC (2007–2009),crisis,HRP,2007-10-01,2009-03-31,-0.26283464044795946,0.29879050635784227,-0.8796619532923822,-0.4510697035647371,-0.5826918508842784,378.0
GFC (2007–2009),crisis,MVO,2007-10-01,2009-03-31,-0.3203295618187587,0.3203257041122994,-1.0000120430749384,-0.5030725633639141,-0.6367462373157443,378.0
GFC (2007–2009),crisis,EW,2007-10-01,2009-03-31,-0.3332825225671281,0.37463039817869315,-0.8896302173753591,-0.5506307611807714,-0.6052740712350283,378.0
GFC (2007–2009),crisis,SPY-K,2007-10-01,2009-03-31,-0.31369640364684137,0.36272160411112475,-0.864840693499845,-0.5234116166100213,-0.599330228240936,378.0
COVID-19 crash (2020 Q1),crisis,HMVA,2020-01-15,2020-04-30,-0.18942545900726226,0.5548026478250657,-0.3414285417523635,-0.31972268061465525,-0.5924680058452491,74.0
COVID-19 crash (2020 Q1),crisis,HRP,2020-01-15,2020-04-30,-0.2217361052243766,0.5332559109297955,-0.4158155599958623,-0.3017048850049734,-0.7349437024220586,74.0
COVID-19 crash (2020 Q1),crisis,MVO,2020-01-15,2020-04-30,-0.15361842139688608,1.0192113418845319,-0.1507228335124726,-0.3358307737930969,-0.4574280661114439,74.0
COVID-19 crash (2020 Q1),crisis,EW,2020-01-15,2020-04-30,-0.3012051609032963,0.5677349228511589,-0.5305383706019828,-0.3298197882373205,-0.9132416296579674,74.0
COVID-19 crash (2020 Q1),crisis,SPY-K,2020-01-15,2020-04-30,-0.21798154566294403,0.5552199546038453,-0.3926039470581995,-0.30872886889099704,-0.7060614267981101,74.0
Rate-hike cycle (2022),crisis,HMVA,2022-01-01,2022-12-31,-0.11069383840430047,0.17334797652705308,-0.6385643525929784,-0.18011950989558034,-0.6145577370739704,251.0
