strategy,regime,mean_sharpe,n_periods
HMVA,crisis,-0.04028354822040074,4
HMVA,calm,1.0695507531634423,1
HMVA-mv,crisis,-0.3444323164201316,4
HMVA-mv,calm,1.154320975517478,1
HRP-E,crisis,-0.6215418846950578,4
HRP-E,calm,1.1705445718211758,1
MHRP-EK,crisis,-0.5480309778850857,4
MHRP-EK,calm,1.1425977641764102,1
MVO-EK,crisis,-0.8122020884367235,4
MVO-EK,calm,0.6622884548284825,1
GMV-EK,crisis,-0.6310509593024067,4
GMV-EK,calm,1.155328382595853,1
EW,crisis,-0.7556515630644237,4
EW,calm,0.9896695094502526,1
SPY-100,crisis,-0.758556965974991,4
SPY-100,calm,0.9965764919835174,1
