rebal,K,C
0,3,1.5
1,10,1.5
2,10,1.0
3,5,1.0
4,10,1.0
5,8,1.0
6,8,1.0
7,10,1.0
8,3,1.0
9,4,1.0
10,8,1.0
11,10,1.0
12,10,1.0
13,4,1.5
14,10,1.5
15,8,1.5
16,10,1.0
17,6,1.0
18,3,1.5
19,10,1.0
20,3,1.5
21,3,1.5
22,1,1.5
23,1,1.0
24,6,1.5
25,10,1.5
26,10,1.0
27,4,1.0
28,4,1.0
29,5,1.0
30,8,1.0
31,8,1.0
32,5,1.0
33,4,1.0
34,3,1.0
35,8,1.0
36,10,1.0
37,2,1.5
38,4,1.0
39,10,1.0
40,1,1.5
41,4,0.25
42,2,0.25
43,3,1.0
44,8,1.5
45,3,1.0
46,3,1.0
47,8,1.0
48,10,1.5
49,2,0.5
50,3,1.5
51,8,1.5
52,10,1.0
53,8,1.0
54,1,1.5
55,6,0.5
56,1,0.5
57,6,1.5
58,1,0.25
59,10,1.5
60,8,1.0
61,4,1.5
62,2,1.5
63,4,1.5
64,8,1.0
65,8,1.0
66,8,1.0
67,10,1.0
68,8,1.0
69,6,1.5
70,8,1.5
71,5,1.0
72,5,1.0
73,5,1.0
74,8,1.0
75,6,1.5
76,8,1.0
77,10,1.0
78,5,1.0
79,6,1.0
80,10,1.0
81,8,1.5
82,8,1.5
83,8,1.0
84,2,1.5
85,2,1.5
86,2,1.5
87,10,1.0
88,10,1.0
89,10,1.0
90,8,1.0
91,6,1.0
92,2,1.5
93,8,1.5
94,6,1.0
95,10,1.0
96,10,1.0
97,10,1.0
98,8,0.25
99,10,1.0
100,10,1.0
101,8,0.25
102,2,1.0
103,1,1.5
104,2,1.5
105,4,1.0
106,3,1.5
107,1,1.5
108,4,1.0
109,10,1.0
110,8,1.5
111,8,1.0
112,10,1.5
