lookback,cost_bps,linkage,strategy,ann_return,ann_vol,sharpe,sortino,omega,max_dd,calmar,var95,cvar95,hit_rate,turnover,sharpe_minus_base,sortino_minus_base
252,0.0,single,HMVA,0.1243136377156584,0.1698102926247136,0.7320736322526438,0.9576747501521351,1.1585461563303214,-0.3421886200785037,0.3632898069115764,-0.015115706793080585,-0.02462299384646982,0.5351996024515487,1.0079414240020075,0.3099288501968756,0.4258325375779417
252,0.0,single,EW,0.07993380284778429,0.18935163063847724,0.42214478205576816,0.5318422125741934,1.1005137308755504,-0.5520665309811991,0.14479016271049128,-0.01805031251124951,-0.02873199863723547,0.5429849262878913,0.05679442508710802,0.0,0.0
252,0.0,single,SPY-K,0.08473735065797183,0.19042143105905382,0.44499902236157934,0.5666510530692785,1.104281464032162,-0.5232526005031028,0.16194348690574611,-0.018332226946508927,-0.028778951343747666,0.5408315388437965,0.06685775501920202,0.02285424030581118,0.03480884049508515
252,2.0,single,HMVA,0.1216002638370508,0.16981606289118933,0.7160704456737224,0.9366732565450956,1.1554230528108207,-0.3432728385679532,0.3542379418783499,-0.015115706793080585,-0.02463723168565475,0.5348683120755342,1.0079414240020075,0.295286884900192,0.4065572328258217
252,2.0,single,EW,0.07967616103790909,0.1893518864934734,0.42078356077353035,0.5301160237192739,1.1002496532812316,-0.5522862375655275,0.14426606281032975,-0.01805031251124951,-0.028733432333639848,0.5429849262878913,0.05679442508710802,0.0,0.0
252,2.0,single,SPY-K,0.08464408910666021,0.19042151135597638,0.4445090709758389,0.5660222626666349,1.1041871746227725,-0.5233471000857024,0.16173604304447095,-0.018332226946508927,-0.028779507213439182,0.5408315388437965,0.06685775501920202,0.023725510202308564,0.035906238947361
252,5.0,single,HMVA,0.11754123655475301,0.1698309817765932,0.6921071486789994,0.9051905160946238,1.1507481901327932,-0.3448964746981318,0.3408015018350946,-0.015115706793080585,-0.02465858844443214,0.5345370216995197,1.0079414240020075,0.27336497330526005,0.37761495263683686
252,5.0,single,EW,0.07928980276235431,0.18935232089193285,0.4187421753737393,0.5275755634577869,1.09985358920442,-0.5526156093284684,0.14348093217762395,-0.01805031251124951,-0.02873558287824642,0.5426536359118768,0.05679442508710802,0.0,0.0
252,5.0,single,SPY-K,0.08450421036021516,0.19042163854663005,0.44377420027042747,0.5650791584529332,1.1040457547018403,-0.5234888166425331,0.1614250537426844,-0.018332226946508927,-0.02878034101797645,0.5408315388437965,0.06685775501920202,0.025032024896688154,0.03750359499514633
252,10.0,single,HMVA,0.11080551921893411,0.16987254370861482,0.6522862188312235,0.852960251668209,1.1429823982627352,-0.34759536938984104,0.3187773168941777,-0.015137164142540677,-0.02469521302857754,0.5337087957594832,1.0079414240020075,0.2369451573610582,0.3296719777538143
