strategy,AnnReturn,AnnVol,Sharpe,MaxDD,Calmar,Turnover,SharpeStab,Sortino,Omega,VaR95,CVaR95,Skew,Kurt,HitRate,lookback
HMVA,0.12608912104940329,0.17119079693456818,0.7365414689762589,-0.33586532132948643,0.3754157188669946,1.0006609236207817,0.10943748192025866,0.961606258541449,1.1608148039972521,-0.014971226818166672,-0.02471298641922725,0.0017155435595967439,14.674671780888733,0.5396715643906655,126
HRP,0.09202930021410971,0.15737200581585228,0.5847882521227894,-0.4213706414916347,0.21840463276779268,0.34637544214108734,0.11019374577015391,0.7341447853453585,1.1301522677468419,-0.014751891424524826,-0.02365582262242527,-0.13501530002439682,13.76276836153896,0.545894554883319,126
GMV,0.08611853795426105,0.13837069350934744,0.6223755606778355,-0.33751104172267354,0.2551576905890475,0.671238014621094,0.11621869949529745,0.7870684567315201,1.1329477505300518,-0.01267060418486273,-0.02044831264154762,-0.3829178962170783,15.11825401097214,0.5393258426966292,126
EW,0.08982595160272866,0.1882416298816008,0.47718430646412746,-0.5520665309811993,0.16270856239569376,0.05687272727272727,0.11171265852279046,0.5960707776817384,1.1119736902421575,-0.017778377097755933,-0.028631714560749186,-0.1839078501136306,11.651764020974255,0.5452031114952464,126
SPY-K,0.09509053230523845,0.18906384755663005,0.5029546025543361,-0.5232526005031033,0.18172968889941427,0.06562876870731324,0.11222672636838782,0.6351845904570663,1.1162190976871975,-0.017949922111278254,-0.02865709568665508,-0.12665974625289111,10.546928408929947,0.5434745030250648,126
HMVA,0.13692199227585955,0.16938223124540394,0.8083610144294567,-0.3419932129567883,0.40036464785972226,0.999041863996002,0.11311755105506292,1.0597860745772125,1.1742122470306027,-0.014935837846519194,-0.0243734325875897,-0.02782497988366608,14.546009004624633,0.5370786516853933,252
HRP,0.09636041218411706,0.15930467629569806,0.6048812528594882,-0.4216317154224538,0.22854166007784488,0.31470518215962495,0.10998616568681306,0.7627897017816536,1.1339088912404678,-0.014853383545104277,-0.023821422574477908,-0.13039192135586272,13.772396732472185,0.5443388072601556,252
GMV,0.07850634968414982,0.14434925906773485,0.5438638908933455,-0.38618959690737786,0.20328447558616775,0.5576294102077742,0.1200133482603115,0.6635314881937932,1.1217331839800881,-0.012705418418335572,-0.021518925054197124,-0.5393311994899519,20.085326133426463,0.545894554883319,252
EW,0.08982595160272866,0.1882416298816008,0.47718430646412746,-0.5520665309811985,0.16270856239569398,0.05687272727272727,0.11171265852279055,0.5960707776817384,1.1119736902421578,-0.017778377097755933,-0.028631714560749186,-0.18390785011363062,11.651764020974252,0.5452031114952464,252
SPY-K,0.09509053230523845,0.18906384755663003,0.5029546025543361,-0.5232526005031034,0.1817296888994142,0.06562876870731324,0.1122267263683873,0.6351845904570664,1.1162190976871975,-0.017949922111278247,-0.02865709568665508,-0.12665974625289106,10.54692840892995,0.5434745030250648,252
HMVA,0.13730912278698026,0.1705015970661473,0.8053245550169845,-0.347614157044989,0.3950044036014604,1.006283998631117,0.11289784051180947,1.0497656570657656,1.1738628094398762,-0.015045462664129148,-0.024546133335609528,-0.1065603781232558,15.076916198531471,0.5420916162489197,504
HRP,0.09380115366852682,0.1633010665477699,0.5744062525218565,-0.4177224058466853,0.2245538002166784,0.31725416274160023,0.1079374355477205,0.7271117611642606,1.1279331409588578,-0.015113894802689598,-0.02441786724594128,-0.12728725218202636,13.187646179835667,0.5433016421780467,504
GMV,0.06965170001249366,0.15084466435070257,0.4617445390747044,-0.37244576712304256,0.18701165689307797,0.421997665525174,0.11688037375442538,0.5787342244645586,1.1053751061297201,-0.013536137243094484,-0.02241487847821364,-0.3830902937400634,17.54546110525871,0.5315471045808124,504
EW,0.08982595160272866,0.1882416298816008,0.47718430646412746,-0.5520665309811985,0.16270856239569398,0.05687272727272727,0.1117126585227906,0.5960707776817384,1.1119736902421578,-0.017778377097755933,-0.028631714560749186,-0.18390785011363042,11.65176402097425,0.5452031114952464,504
SPY-K,0.09509053230523845,0.18906384755663003,0.5029546025543361,-0.5232526005031034,0.1817296888994142,0.06562876870731324,0.11222672636838746,0.6351845904570663,1.1162190976871975,-0.017949922111278247,-0.02865709568665508,-0.12665974625289111,10.546928408929954,0.5434745030250648,504
