rebal,K,C
0,2,0.25
1,4,0.25
2,4,0.25
3,3,0.25
4,3,0.25
5,3,0.25
6,3,0.25
7,3,0.25
8,4,0.25
9,2,0.25
10,1,1.0
11,2,1.5
12,1,1.5
13,2,1.5
14,2,1.5
15,2,1.5
16,2,1.5
17,8,1.0
18,3,1.0
19,3,0.75
20,3,0.5
21,1,1.5
22,6,0.5
23,5,0.75
24,6,0.75
25,4,0.75
26,4,0.5
27,4,0.5
28,5,0.5
29,5,0.25
30,8,0.25
31,5,0.25
32,7,0.25
33,7,0.25
34,7,0.25
35,3,0.25
36,4,0.25
37,4,0.25
38,2,0.25
39,4,1.5
40,8,1.0
41,8,1.0
42,8,1.0
43,8,1.0
44,8,1.0
45,8,1.0
46,1,1.5
47,1,1.5
48,1,1.5
49,1,1.5
50,1,1.5
51,4,1.5
52,1,1.5
53,4,1.5
54,4,1.5
55,4,1.5
56,4,1.5
57,4,1.5
58,4,1.5
59,4,1.0
60,4,1.0
61,8,0.5
62,8,0.25
63,8,0.25
64,6,0.25
65,8,0.25
66,8,0.25
67,8,0.25
68,7,0.25
69,7,0.25
70,7,0.25
71,5,0.25
72,7,0.25
73,8,0.25
74,4,0.5
75,7,0.25
76,8,0.25
77,7,0.25
78,7,0.25
79,7,0.25
80,7,0.5
81,8,0.25
82,8,0.25
83,8,0.25
84,7,0.75
85,7,0.5
86,7,0.75
87,7,0.5
88,7,0.75
89,3,0.5
90,4,0.25
91,4,0.25
92,4,0.25
93,4,0.25
94,5,0.25
95,5,0.5
